"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3401","submits an eligible application with Option Three","chromium","2026-07-15","passed","2026-07-15","Grant Application Portal","grant-application.spec.js","",""
"","6353","submits an eligible application with Option Two","webkit","2026-07-15","passed","2026-07-15","Grant Application Portal","grant-application.spec.js","",""
"","3495","submits an eligible application with Option Two","chromium","2026-07-15","passed","2026-07-15","Grant Application Portal","grant-application.spec.js","",""
"","4917","submits an eligible application with Option Two","firefox","2026-07-15","passed","2026-07-15","Grant Application Portal","grant-application.spec.js","",""
"","5429","rejects an invalid Singapore postal code","webkit","2026-07-15","passed","2026-07-15","Grant Application Portal","grant-application.spec.js","",""
"","9400","grant application form meets WCAG 2.1 A/AA (no critical/serious issues)","webkit","2026-07-15","passed","2026-07-15","Accessibility","accessibility.spec.js","",""
"","3715","rejects an invalid Singapore postal code","firefox","2026-07-15","passed","2026-07-15","Grant Application Portal","grant-application.spec.js","",""
"","6248","submits an application flagged as not eligible","webkit","2026-07-15","passed","2026-07-15","Grant Application Portal","grant-application.spec.js","",""
"","3571","submits an eligible application successfully","chromium","2026-07-15","passed","2026-07-15","Grant Application Portal","grant-application.spec.js","",""
"","7134","submits an eligible application successfully","webkit","2026-07-15","passed","2026-07-15","Grant Application Portal","grant-application.spec.js","",""
"","2950","rejects an invalid Singapore phone number","chromium","2026-07-15","passed","2026-07-15","Grant Application Portal","grant-application.spec.js","",""
"","3580","submits an application flagged as not eligible","chromium","2026-07-15","passed","2026-07-15","Grant Application Portal","grant-application.spec.js","",""
"","4170","displays the application form with all required fields","webkit","2026-07-15","passed","2026-07-15","Grant Application Portal","grant-application.spec.js","",""
"","3614","grant application form matches the visual baseline","visual","2026-07-15","passed","2026-07-15","Visual regression","../visual/grant-application.visual.spec.js","",""
"","3270","displays the application form with all required fields","chromium","2026-07-15","passed","2026-07-15","Grant Application Portal","grant-application.spec.js","",""
"","4079","grant application form meets WCAG 2.1 A/AA (no critical/serious issues)","chromium","2026-07-15","passed","2026-07-15","Accessibility","accessibility.spec.js","",""
"","5180","submits an eligible application with Option Three","firefox","2026-07-15","passed","2026-07-15","Grant Application Portal","grant-application.spec.js","",""
"","5260","rejects an invalid Singapore phone number","webkit","2026-07-15","passed","2026-07-15","Grant Application Portal","grant-application.spec.js","",""
"","6033","grant application form meets WCAG 2.1 A/AA (no critical/serious issues)","firefox","2026-07-15","passed","2026-07-15","Accessibility","accessibility.spec.js","",""
"","4623","submits an eligible application successfully","firefox","2026-07-15","passed","2026-07-15","Grant Application Portal","grant-application.spec.js","",""
"","2915","rejects an invalid Singapore postal code","chromium","2026-07-15","passed","2026-07-15","Grant Application Portal","grant-application.spec.js","",""
"","6732","submits an eligible application with Option Three","webkit","2026-07-15","passed","2026-07-15","Grant Application Portal","grant-application.spec.js","",""
"","4489","submits an application flagged as not eligible","firefox","2026-07-15","passed","2026-07-15","Grant Application Portal","grant-application.spec.js","",""
"","3604","displays the application form with all required fields","firefox","2026-07-15","passed","2026-07-15","Grant Application Portal","grant-application.spec.js","",""
"","4099","rejects an invalid Singapore phone number","firefox","2026-07-15","passed","2026-07-15","Grant Application Portal","grant-application.spec.js","",""
